time;latitude;longitude;velocity
2025-08-26T10:48:49.013Z;47.4213501;8.3091202;10.19
2025-08-26T10:48:54.009Z;47.4215074;8.3087984;3.13
2025-08-26T10:48:59.019Z;47.4215285;8.3087547;0.0
2025-08-26T10:49:04.011Z;47.4215285;8.3087547;0.0
2025-08-26T10:49:09.012Z;47.4215762;8.3086498;4.1
2025-08-26T10:49:14.010Z;47.4217651;8.3083;8.71
2025-08-26T10:49:16.005Z;47.4218733;8.3080746;10.33
2025-08-26T10:49:19.024Z;47.4220482;8.3077359;12.05
2025-08-26T10:49:24.012Z;47.4224176;8.3070783;13.24
2025-08-26T10:49:29.013Z;47.4228231;8.3064967;12.41
2025-08-26T10:49:34.014Z;47.4232307;8.3061092;9.58
2025-08-26T10:49:39.004Z;47.4236493;8.3060918;9.72
2025-08-26T10:49:44.007Z;47.4240455;8.3060185;8.75
2025-08-26T10:49:49.006Z;47.4242072;8.3055712;7.94
2025-08-26T10:49:54.011Z;47.4242164;8.3050619;6.94
2025-08-26T10:49:59.010Z;47.4242821;8.304691;6.35
2025-08-26T10:50:04.014Z;47.424485;8.3044187;5.97
2025-08-26T10:50:09.015Z;47.4245933;8.3041632;3.58
2025-08-26T10:50:14.013Z;47.4246224;8.3040714;0.1
2025-08-26T10:50:19.014Z;47.4246233;8.3040697;0.0
2025-08-26T10:50:24.005Z;47.4246231;8.3040694;0.0
2025-08-26T10:50:29.005Z;47.424626;8.3039423;3.91
2025-08-26T10:50:34.008Z;47.4246294;8.3034887;8.41
2025-08-26T10:50:39.006Z;47.4245839;8.3028626;10.0
2025-08-26T10:50:44.014Z;47.4246241;8.3022208;10.13
2025-08-26T10:50:49.021Z;47.4246844;8.3015458;10.46
2025-08-26T10:50:54.023Z;47.4246715;8.3008693;10.0
2025-08-26T10:50:59.005Z;47.4246466;8.3003646;6.13
2025-08-26T10:51:04.004Z;47.4247487;8.2999301;7.74
2025-08-26T10:51:09.004Z;47.4250505;8.2994498;11.11
2025-08-26T10:51:14.021Z;47.4254028;8.2989097;12.1
2025-08-26T10:51:19.006Z;47.4257522;8.2982636;12.55
2025-08-26T10:51:24.008Z;47.4260786;8.2975957;12.58
2025-08-26T10:51:29.005Z;47.4263915;8.2969536;11.94
2025-08-26T10:51:34.004Z;47.4266984;8.2963514;11.69
2025-08-26T10:51:39.005Z;47.4270245;8.2957306;11.99
2025-08-26T10:51:44.006Z;47.4273935;8.2950709;13.8
2025-08-26T10:51:49.006Z;47.427809;8.2943703;14.35
2025-08-26T10:51:54.014Z;47.428234;8.2936789;14.91
2025-08-26T10:51:59.015Z;47.4286868;8.292937;14.52
2025-08-26T10:52:04.006Z;47.4292071;8.2924987;14.19
2025-08-26T10:52:09.015Z;47.4298628;8.2923647;14.6
2025-08-26T10:52:14.005Z;47.4304768;8.2922377;14.21
2025-08-26T10:52:19.012Z;47.4310859;8.2920639;13.47
2025-08-26T10:52:24.005Z;47.4316551;8.2918224;13.52
2025-08-26T10:52:25.009Z;47.4317688;8.2917843;13.49
2025-08-26T10:52:29.011Z;47.4322441;8.291675;12.91
2025-08-26T10:52:34.013Z;47.4327378;8.2916049;9.96
2025-08-26T10:52:39.011Z;47.4330218;8.2915616;3.88
2025-08-26T10:52:44.005Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:49.006Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:54.008Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:59.015Z;47.4331708;8.2914703;4.49
2025-08-26T10:53:04.006Z;47.4334583;8.2914072;8.35
2025-08-26T10:53:09.006Z;47.4338946;8.2913192;11.52
2025-08-26T10:53:14.011Z;47.4343944;8.2913229;10.55
2025-08-26T10:53:19.006Z;47.4348224;8.2913624;9.13
2025-08-26T10:53:24.011Z;47.4351718;8.2914081;6.55
2025-08-26T10:53:29.022Z;47.4353286;8.2913596;1.19
2025-08-26T10:53:34.017Z;47.4353514;8.2913366;1.74
2025-08-26T10:53:39.010Z;47.4354653;8.2911764;3.63
2025-08-26T10:53:44.021Z;47.4353049;8.291031;4.33
2025-08-26T10:53:49.007Z;47.4350308;8.290848;8.3
2025-08-26T10:53:54.025Z;47.4346327;8.290473;11.63
2025-08-26T10:53:59.006Z;47.4341808;8.2900554;11.88
2025-08-26T10:54:04.021Z;47.4337477;8.2896467;10.94
2025-08-26T10:54:09.018Z;47.4334355;8.2893526;6.85
2025-08-26T10:54:14.017Z;47.4333523;8.2892781;0.08
2025-08-26T10:54:19.011Z;47.4333517;8.289278;0.0
2025-08-26T10:54:24.006Z;47.4333516;8.289278;0.0
2025-08-26T10:54:29.012Z;47.4332385;8.2891801;4.96
2025-08-26T10:54:34.016Z;47.4329439;8.2889108;9.52
2025-08-26T10:54:39.016Z;47.4325337;8.2885176;11.8
2025-08-26T10:54:44.015Z;47.4320817;8.2881204;12.22
2025-08-26T10:54:49.024Z;47.4315803;8.2876573;14.58
2025-08-26T10:54:54.006Z;47.4309913;8.2871146;16.66
2025-08-26T10:54:59.016Z;47.4303246;8.2865019;18.27
2025-08-26T10:55:04.006Z;47.4296084;8.2858056;20.13
2025-08-26T10:55:09.012Z;47.4289017;8.2850066;19.49
2025-08-26T10:55:14.007Z;47.4283459;8.2842589;15.88
2025-08-26T10:55:19.006Z;47.428155;8.2832575;16.77
2025-08-26T10:55:24.013Z;47.4281769;8.28218;16.27
2025-08-26T10:55:29.006Z;47.4284273;8.2811783;16.49
2025-08-26T10:55:34.009Z;47.4288337;8.2802858;16.05
2025-08-26T10:55:39.011Z;47.4290216;8.2792911;16.77
2025-08-26T10:55:44.015Z;47.4288099;8.2781683;19.16
2025-08-26T10:55:49.017Z;47.428509;8.2770333;17.27
2025-08-26T10:55:54.007Z;47.428528;8.2760659;12.44
2025-08-26T10:55:59.006Z;47.4286198;8.2755595;5.6
2025-08-26T10:56:04.007Z;47.4286231;8.2752621;4.69
2025-08-26T10:56:09.006Z;47.4284389;8.275351;4.35
2025-08-26T10:56:14.017Z;47.428446;8.2756985;4.58
2025-08-26T10:56:19.006Z;47.4283241;8.2759459;3.77
2025-08-26T10:56:24.006Z;47.428274;8.2760676;2.55
2025-08-26T10:56:29.006Z;47.428242;8.2761409;0.0
2025-08-26T10:56:34.014Z;47.428242;8.2761409;0.0
2025-08-26T10:56:39.011Z;47.428242;8.2761409;0.0
2025-08-26T10:56:44.008Z;47.428242;8.2761409;0.0
2025-08-26T10:56:49.014Z;47.428242;8.2761409;0.0
2025-08-26T10:56:54.006Z;47.428242;8.2761409;0.0
2025-08-26T10:56:59.006Z;47.428242;8.2761409;0.0
2025-08-26T10:57:04.011Z;47.428242;8.2761409;0.0
2025-08-26T10:57:09.006Z;47.428242;8.2761409;0.0
2025-08-26T10:57:14.021Z;47.428242;8.2761409;0.0
time;latitude;longitude;velocity
2025-08-26T10:40:59.015Z;47.4385835;8.2918724;7.58
2025-08-26T10:41:04.003Z;47.4381639;8.2917922;11.25
2025-08-26T10:41:07.010Z;47.4378677;8.2917331;11.69
2025-08-26T10:41:09.004Z;47.4376547;8.2916849;11.6
2025-08-26T10:41:14.004Z;47.4371947;8.2915705;10.66
2025-08-26T10:41:19.006Z;47.4367763;8.2914687;7.58
2025-08-26T10:41:24.018Z;47.4366665;8.2914572;0.52
2025-08-26T10:41:29.021Z;47.4366598;8.2914591;0.0
2025-08-26T10:41:34.019Z;47.4366134;8.2915605;3.3
2025-08-26T10:41:39.006Z;47.4365645;8.2919207;6.58
2025-08-26T10:41:44.018Z;47.4364306;8.292379;8.13
2025-08-26T10:41:49.003Z;47.4363012;8.2928258;6.94
2025-08-26T10:41:54.007Z;47.4361854;8.2932289;6.96
2025-08-26T10:41:59.021Z;47.4361039;8.2937049;7.27
2025-08-26T10:42:04.015Z;47.4360506;8.294219;7.85
2025-08-26T10:42:09.011Z;47.4360039;8.2947012;7.66
2025-08-26T10:42:14.007Z;47.4359578;8.2951798;7.38
2025-08-26T10:42:19.019Z;47.4360525;8.2956573;7.8
2025-08-26T10:42:24.003Z;47.436268;8.2960328;7.83
2025-08-26T10:42:29.004Z;47.4365033;8.2964351;7.94
2025-08-26T10:42:34.006Z;47.4366991;8.2968633;8.08
2025-08-26T10:42:39.021Z;47.4368398;8.2973822;8.58
2025-08-26T10:42:41.012Z;47.4368725;8.2975694;8.21
2025-08-26T10:42:44.005Z;47.4369246;8.2978867;7.38
2025-08-26T10:42:49.004Z;47.4369888;8.2982797;5.41
2025-08-26T10:42:54.013Z;47.4370248;8.2985053;2.1
2025-08-26T10:42:59.006Z;47.4369849;8.2986341;3.08
2025-08-26T10:43:04.010Z;47.4368135;8.2986689;3.61
2025-08-26T10:43:09.011Z;47.436729;8.2987302;0.94
2025-08-26T10:43:11.021Z;47.4367153;8.298742;0.05
2025-08-26T10:43:14.003Z;47.4367153;8.298742;0.0
2025-08-26T10:43:15.014Z;47.4367153;8.298742;0.0
2025-08-26T10:43:19.005Z;47.4367153;8.298742;0.0
2025-08-26T10:43:20.015Z;47.4367148;8.2987423;0.0
2025-08-26T10:43:24.009Z;47.4367148;8.2987423;0.0
2025-08-26T10:43:29.006Z;47.436669;8.2988132;3.63
2025-08-26T10:43:34.005Z;47.4363897;8.2990237;9.55
2025-08-26T10:43:39.020Z;47.4358864;8.2993322;14.19
2025-08-26T10:43:44.003Z;47.4352398;8.2997117;17.08
2025-08-26T10:43:49.004Z;47.4344859;8.3001582;19.35
2025-08-26T10:43:54.020Z;47.4336532;8.3006504;20.85
2025-08-26T10:43:59.013Z;47.4328583;8.3011484;18.35
2025-08-26T10:44:04.009Z;47.4321718;8.3016515;17.52
2025-08-26T10:44:09.006Z;47.431461;8.3022568;18.8
2025-08-26T10:44:14.004Z;47.4307528;8.3029753;19.63
2025-08-26T10:44:19.011Z;47.4300675;8.3037549;20.08
2025-08-26T10:44:24.005Z;47.4293999;8.3046309;20.58
2025-08-26T10:44:27.009Z;47.429005;8.3052168;20.97
2025-08-26T10:44:29.015Z;47.4287411;8.3056145;21.27
2025-08-26T10:44:34.004Z;47.4281062;8.3065789;21.02
2025-08-26T10:44:39.018Z;47.4274281;8.3075919;21.52
2025-08-26T10:44:44.012Z;47.426765;8.3086185;21.91
2025-08-26T10:44:49.010Z;47.4260906;8.3095663;20.97
2025-08-26T10:44:54.011Z;47.4254312;8.310373;16.49
2025-08-26T10:44:57.015Z;47.4251721;8.3106413;11.27
2025-08-26T10:44:59.009Z;47.4250338;8.3107812;7.69
2025-08-26T10:45:04.012Z;47.4247874;8.3109258;5.55
2025-08-26T10:45:09.004Z;47.4245728;8.3111993;7.02
2025-08-26T10:45:14.004Z;47.4242362;8.3113383;8.27
2025-08-26T10:45:19.004Z;47.4240334;8.3114407;2.5
2025-08-26T10:45:24.004Z;47.4239891;8.3114631;0.0
2025-08-26T10:45:29.012Z;47.4239891;8.3114634;0.0
2025-08-26T10:45:34.022Z;47.4239797;8.3114678;0.66
2025-08-26T10:45:39.010Z;47.4238413;8.3115839;5.44
2025-08-26T10:45:44.004Z;47.4234927;8.3117573;9.88
2025-08-26T10:45:49.005Z;47.4230373;8.3120098;11.16
2025-08-26T10:45:54.010Z;47.4226216;8.3124484;12.13
2025-08-26T10:45:59.008Z;47.4222199;8.3129783;12.19
2025-08-26T10:46:02.017Z;47.4219606;8.3133379;13.16
2025-08-26T10:46:04.016Z;47.4217871;8.3135674;13.8
2025-08-26T10:46:09.022Z;47.4213223;8.314194;14.02
2025-08-26T10:46:14.004Z;47.4208645;8.3147732;13.58
2025-08-26T10:46:19.013Z;47.4203906;8.3152738;13.19
2025-08-26T10:46:24.005Z;47.4199033;8.3157361;12.6
2025-08-26T10:46:29.013Z;47.4194661;8.3161369;10.91
2025-08-26T10:46:34.014Z;47.4191842;8.316578;8.44
2025-08-26T10:46:39.011Z;47.4189629;8.3168268;5.69
2025-08-26T10:46:44.014Z;47.4187637;8.3167101;4.96
2025-08-26T10:46:49.005Z;47.4185914;8.3166117;3.66
2025-08-26T10:46:54.022Z;47.4185215;8.3165786;0.08
2025-08-26T10:46:59.003Z;47.4185213;8.3165795;0.0
2025-08-26T10:47:04.005Z;47.4185213;8.3165795;0.0
2025-08-26T10:47:09.004Z;47.4184005;8.3165988;4.05
2025-08-26T10:47:14.012Z;47.4181732;8.3164699;6.41
2025-08-26T10:47:19.004Z;47.4179218;8.3163583;4.3
2025-08-26T10:47:24.010Z;47.4178616;8.3161816;3.41
2025-08-26T10:47:29.004Z;47.4180852;8.3158676;8.13
2025-08-26T10:47:34.018Z;47.4183746;8.3154677;9.6
2025-08-26T10:47:39.010Z;47.4186567;8.3151342;6.13
2025-08-26T10:47:44.022Z;47.4188246;8.3149228;6.11
2025-08-26T10:47:49.005Z;47.4190185;8.3143894;10.66
2025-08-26T10:47:54.012Z;47.4192994;8.3137411;12.16
2025-08-26T10:47:59.012Z;47.4195857;8.3130745;11.8
2025-08-26T10:48:04.011Z;47.419841;8.3125164;8.41
2025-08-26T10:48:09.011Z;47.4199407;8.3123157;0.69
2025-08-26T10:48:14.012Z;47.4199469;8.3123034;0.0
2025-08-26T10:48:19.005Z;47.419947;8.3123031;0.0
2025-08-26T10:48:24.004Z;47.4199929;8.3121951;4.05
2025-08-26T10:48:29.005Z;47.4201654;8.3118036;8.99
2025-08-26T10:48:34.018Z;47.4204213;8.3112211;11.41
2025-08-26T10:48:39.004Z;47.4207307;8.3105055;13.66
2025-08-26T10:48:44.016Z;47.4210652;8.3097513;13.47
2025-08-26T10:48:49.013Z;47.4213501;8.3091202;10.19
2025-08-26T10:48:54.009Z;47.4215074;8.3087984;3.13
2025-08-26T10:48:59.019Z;47.4215285;8.3087547;0.0
2025-08-26T10:49:04.011Z;47.4215285;8.3087547;0.0
2025-08-26T10:49:09.012Z;47.4215762;8.3086498;4.1
2025-08-26T10:49:14.010Z;47.4217651;8.3083;8.71
2025-08-26T10:49:16.005Z;47.4218733;8.3080746;10.33
2025-08-26T10:49:19.024Z;47.4220482;8.3077359;12.05
2025-08-26T10:49:24.012Z;47.4224176;8.3070783;13.24
2025-08-26T10:49:29.013Z;47.4228231;8.3064967;12.41
2025-08-26T10:49:34.014Z;47.4232307;8.3061092;9.58
2025-08-26T10:49:39.004Z;47.4236493;8.3060918;9.72
2025-08-26T10:49:44.007Z;47.4240455;8.3060185;8.75
2025-08-26T10:49:49.006Z;47.4242072;8.3055712;7.94
2025-08-26T10:49:54.011Z;47.4242164;8.3050619;6.94
2025-08-26T10:49:59.010Z;47.4242821;8.304691;6.35
2025-08-26T10:50:04.014Z;47.424485;8.3044187;5.97
2025-08-26T10:50:09.015Z;47.4245933;8.3041632;3.58
2025-08-26T10:50:14.013Z;47.4246224;8.3040714;0.1
2025-08-26T10:50:19.014Z;47.4246233;8.3040697;0.0
2025-08-26T10:50:24.005Z;47.4246231;8.3040694;0.0
2025-08-26T10:50:29.005Z;47.424626;8.3039423;3.91
2025-08-26T10:50:34.008Z;47.4246294;8.3034887;8.41
2025-08-26T10:50:39.006Z;47.4245839;8.3028626;10.0
2025-08-26T10:50:44.014Z;47.4246241;8.3022208;10.13
2025-08-26T10:50:49.021Z;47.4246844;8.3015458;10.46
2025-08-26T10:50:54.023Z;47.4246715;8.3008693;10.0
2025-08-26T10:50:59.005Z;47.4246466;8.3003646;6.13
2025-08-26T10:51:04.004Z;47.4247487;8.2999301;7.74
2025-08-26T10:51:09.004Z;47.4250505;8.2994498;11.11
2025-08-26T10:51:14.021Z;47.4254028;8.2989097;12.1
2025-08-26T10:51:19.006Z;47.4257522;8.2982636;12.55
2025-08-26T10:51:24.008Z;47.4260786;8.2975957;12.58
2025-08-26T10:51:29.005Z;47.4263915;8.2969536;11.94
2025-08-26T10:51:34.004Z;47.4266984;8.2963514;11.69
2025-08-26T10:51:39.005Z;47.4270245;8.2957306;11.99
2025-08-26T10:51:44.006Z;47.4273935;8.2950709;13.8
2025-08-26T10:51:49.006Z;47.427809;8.2943703;14.35
2025-08-26T10:51:54.014Z;47.428234;8.2936789;14.91
2025-08-26T10:51:59.015Z;47.4286868;8.292937;14.52
2025-08-26T10:52:04.006Z;47.4292071;8.2924987;14.19
2025-08-26T10:52:09.015Z;47.4298628;8.2923647;14.6
2025-08-26T10:52:14.005Z;47.4304768;8.2922377;14.21
2025-08-26T10:52:19.012Z;47.4310859;8.2920639;13.47
2025-08-26T10:52:24.005Z;47.4316551;8.2918224;13.52
2025-08-26T10:52:25.009Z;47.4317688;8.2917843;13.49
2025-08-26T10:52:29.011Z;47.4322441;8.291675;12.91
2025-08-26T10:52:34.013Z;47.4327378;8.2916049;9.96
2025-08-26T10:52:39.011Z;47.4330218;8.2915616;3.88
2025-08-26T10:52:44.005Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:49.006Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:54.008Z;47.4330473;8.2915532;0.0
2025-08-26T10:52:59.015Z;47.4331708;8.2914703;4.49
2025-08-26T10:53:04.006Z;47.4334583;8.2914072;8.35
2025-08-26T10:53:09.006Z;47.4338946;8.2913192;11.52
2025-08-26T10:53:14.011Z;47.4343944;8.2913229;10.55
2025-08-26T10:53:19.006Z;47.4348224;8.2913624;9.13
2025-08-26T10:53:24.011Z;47.4351718;8.2914081;6.55
2025-08-26T10:53:29.022Z;47.4353286;8.2913596;1.19
2025-08-26T10:53:34.017Z;47.4353514;8.2913366;1.74
2025-08-26T10:53:39.010Z;47.4354653;8.2911764;3.63
2025-08-26T10:53:44.021Z;47.4353049;8.291031;4.33
2025-08-26T10:53:49.007Z;47.4350308;8.290848;8.3
2025-08-26T10:53:54.025Z;47.4346327;8.290473;11.63
2025-08-26T10:53:59.006Z;47.4341808;8.2900554;11.88
2025-08-26T10:54:04.021Z;47.4337477;8.2896467;10.94
2025-08-26T10:54:09.018Z;47.4334355;8.2893526;6.85
2025-08-26T10:54:14.017Z;47.4333523;8.2892781;0.08
2025-08-26T10:54:19.011Z;47.4333517;8.289278;0.0
2025-08-26T10:54:24.006Z;47.4333516;8.289278;0.0
2025-08-26T10:54:29.012Z;47.4332385;8.2891801;4.96
2025-08-26T10:54:34.016Z;47.4329439;8.2889108;9.52
2025-08-26T10:54:39.016Z;47.4325337;8.2885176;11.8
2025-08-26T10:54:44.015Z;47.4320817;8.2881204;12.22
2025-08-26T10:54:49.024Z;47.4315803;8.2876573;14.58
2025-08-26T10:54:54.006Z;47.4309913;8.2871146;16.66
2025-08-26T10:54:59.016Z;47.4303246;8.2865019;18.27
2025-08-26T10:55:04.006Z;47.4296084;8.2858056;20.13
2025-08-26T10:55:09.012Z;47.4289017;8.2850066;19.49
2025-08-26T10:55:14.007Z;47.4283459;8.2842589;15.88
2025-08-26T10:55:19.006Z;47.428155;8.2832575;16.77
2025-08-26T10:55:24.013Z;47.4281769;8.28218;16.27
2025-08-26T10:55:29.006Z;47.4284273;8.2811783;16.49
2025-08-26T10:55:34.009Z;47.4288337;8.2802858;16.05
2025-08-26T10:55:39.011Z;47.4290216;8.2792911;16.77
2025-08-26T10:55:44.015Z;47.4288099;8.2781683;19.16
2025-08-26T10:55:49.017Z;47.428509;8.2770333;17.27
2025-08-26T10:55:54.007Z;47.428528;8.2760659;12.44
2025-08-26T10:55:59.006Z;47.4286198;8.2755595;5.6
2025-08-26T10:56:04.007Z;47.4286231;8.2752621;4.69
2025-08-26T10:56:09.006Z;47.4284389;8.275351;4.35
2025-08-26T10:56:14.017Z;47.428446;8.2756985;4.58
2025-08-26T10:56:19.006Z;47.4283241;8.2759459;3.77
2025-08-26T10:56:24.006Z;47.428274;8.2760676;2.55
2025-08-26T10:56:29.006Z;47.428242;8.2761409;0.0
2025-08-26T10:56:34.014Z;47.428242;8.2761409;0.0
2025-08-26T10:56:39.011Z;47.428242;8.2761409;0.0
2025-08-26T10:56:44.008Z;47.428242;8.2761409;0.0
2025-08-26T10:56:49.014Z;47.428242;8.2761409;0.0
2025-08-26T10:56:54.006Z;47.428242;8.2761409;0.0
2025-08-26T10:56:59.006Z;47.428242;8.2761409;0.0
2025-08-26T10:57:04.011Z;47.428242;8.2761409;0.0
2025-08-26T10:57:09.006Z;47.428242;8.2761409;0.0
2025-08-26T10:57:14.021Z;47.428242;8.2761409;0.0
