time;latitude;longitude;velocity
2025-08-23T14:44:35.206Z;47.387722;7.0803573;0.0
2025-08-23T14:44:40.205Z;47.387722;7.0803573;0.0
2025-08-23T14:44:45.208Z;47.387722;7.0803573;0.0
2025-08-23T14:44:50.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:55.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:00.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:05.209Z;47.387722;7.0803573;0.0
2025-08-23T14:45:10.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:15.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:20.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:25.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:30.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:35.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:40.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:45.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:50.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:55.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:00.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:02.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:05.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:10.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:15.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:20.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:25.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:30.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:35.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:40.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:45.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:46.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:50.206Z;47.3877226;7.0803571;0.0
2025-08-23T14:46:55.207Z;47.3877151;7.080351;1.38
2025-08-23T14:47:00.205Z;47.3877032;7.0802389;1.51
2025-08-23T14:47:05.205Z;47.3878433;7.0801088;4.54
2025-08-23T14:47:10.208Z;47.3880357;7.0798713;5.86
time;latitude;longitude;velocity
2025-08-23T14:32:15.207Z;47.4192006;7.0792371;4.95
2025-08-23T14:32:20.207Z;47.4189618;7.0791779;5.96
2025-08-23T14:32:25.207Z;47.4186654;7.079124;6.36
2025-08-23T14:32:30.207Z;47.4183891;7.0790975;6.51
2025-08-23T14:32:35.207Z;47.4180649;7.0789948;7.8
2025-08-23T14:32:40.207Z;47.4177878;7.0787785;6.57
2025-08-23T14:32:45.207Z;47.4175208;7.0784377;7.34
2025-08-23T14:32:50.207Z;47.4171923;7.0782987;7.41
2025-08-23T14:32:55.205Z;47.4169872;7.0782089;3.2
2025-08-23T14:33:00.207Z;47.4168563;7.0781462;2.74
2025-08-23T14:33:05.207Z;47.4167005;7.078055;3.52
2025-08-23T14:33:10.207Z;47.4165683;7.0781778;3.72
2025-08-23T14:33:15.207Z;47.4163774;7.0782643;5.07
2025-08-23T14:33:20.207Z;47.4162216;7.078351;2.96
2025-08-23T14:33:25.207Z;47.4161683;7.0783776;0.0
2025-08-23T14:33:30.206Z;47.4161683;7.0783776;0.0
2025-08-23T14:33:35.207Z;47.416131;7.0783924;1.11
2025-08-23T14:33:40.207Z;47.4160357;7.0784546;3.85
2025-08-23T14:33:45.206Z;47.4158396;7.0785818;5.52
2025-08-23T14:33:50.206Z;47.4155473;7.0786877;6.65
2025-08-23T14:33:55.205Z;47.4153;7.0787747;5.46
2025-08-23T14:34:00.205Z;47.4150568;7.0788589;4.81
2025-08-23T14:34:05.206Z;47.4148563;7.0789242;5.05
2025-08-23T14:34:10.206Z;47.4146892;7.0787023;5.62
2025-08-23T14:34:15.207Z;47.4146069;7.0783869;4.55
2025-08-23T14:34:16.206Z;47.4145684;7.0783194;4.21
2025-08-23T14:34:20.207Z;47.4144267;7.0783423;4.78
2025-08-23T14:34:25.207Z;47.4141376;7.0784935;7.29
2025-08-23T14:34:30.206Z;47.4138577;7.078681;5.96
2025-08-23T14:34:35.207Z;47.4136978;7.0787169;2.8
2025-08-23T14:34:40.207Z;47.413447;7.0786614;7.12
2025-08-23T14:34:45.207Z;47.4130635;7.0785631;9.82
2025-08-23T14:34:50.207Z;47.4126096;7.0783649;10.91
2025-08-23T14:34:55.207Z;47.4121323;7.0782463;10.35
2025-08-23T14:35:00.207Z;47.4117644;7.0783265;6.18
2025-08-23T14:35:05.206Z;47.4115876;7.0780879;6.17
2025-08-23T14:35:10.208Z;47.4114771;7.0777605;4.08
2025-08-23T14:35:15.207Z;47.4114242;7.0775338;2.76
2025-08-23T14:35:20.206Z;47.4113649;7.0774326;1.96
2025-08-23T14:35:25.206Z;47.4111126;7.0775993;6.11
2025-08-23T14:35:30.206Z;47.4107632;7.0775969;9.61
2025-08-23T14:35:35.208Z;47.4102721;7.077632;12.04
2025-08-23T14:35:40.207Z;47.4096902;7.0776771;13.91
2025-08-23T14:35:45.206Z;47.4090789;7.0778602;12.86
2025-08-23T14:35:50.207Z;47.4085293;7.0780738;13.93
2025-08-23T14:35:55.208Z;47.4078824;7.0781238;13.94
2025-08-23T14:36:00.208Z;47.4072636;7.0780781;13.95
2025-08-23T14:36:05.206Z;47.4066552;7.0780436;12.88
2025-08-23T14:36:10.205Z;47.4060753;7.07824;13.86
2025-08-23T14:36:15.207Z;47.4055273;7.0787325;13.41
2025-08-23T14:36:19.205Z;47.4051462;7.079105;12.08
2025-08-23T14:36:20.205Z;47.4050512;7.0791936;11.72
2025-08-23T14:36:25.206Z;47.4046709;7.0795474;8.61
2025-08-23T14:36:30.206Z;47.4044054;7.0796935;4.44
2025-08-23T14:36:35.205Z;47.4042931;7.0797537;1.64
2025-08-23T14:36:40.205Z;47.4042448;7.0797759;1.65
2025-08-23T14:36:45.206Z;47.4042118;7.0797886;0.0
2025-08-23T14:36:50.205Z;47.4042118;7.0797886;0.0
2025-08-23T14:36:55.205Z;47.4042005;7.0797929;0.59
2025-08-23T14:37:00.206Z;47.4041004;7.079858;3.55
2025-08-23T14:37:05.205Z;47.4039124;7.0798805;5.28
2025-08-23T14:37:10.206Z;47.4036171;7.0799105;6.81
2025-08-23T14:37:15.206Z;47.4032911;7.0800305;8.23
2025-08-23T14:37:20.206Z;47.4028572;7.0802115;11.55
2025-08-23T14:37:25.206Z;47.4023889;7.080345;9.48
2025-08-23T14:37:30.206Z;47.40203;7.0802382;7.13
2025-08-23T14:37:35.206Z;47.4017455;7.0799462;9.32
2025-08-23T14:37:40.206Z;47.4014311;7.0794746;10.08
2025-08-23T14:37:45.207Z;47.4010939;7.0791603;7.19
2025-08-23T14:37:50.206Z;47.4008171;7.0790529;6.8
2025-08-23T14:37:55.208Z;47.4004735;7.0789121;8.72
2025-08-23T14:38:00.206Z;47.4000704;7.0787429;10.25
2025-08-23T14:38:05.207Z;47.399614;7.0785429;10.39
2025-08-23T14:38:08.207Z;47.3993417;7.0785357;9.7
2025-08-23T14:38:10.207Z;47.3992003;7.0786181;9.58
2025-08-23T14:38:15.206Z;47.3988661;7.0790985;10.96
2025-08-23T14:38:20.206Z;47.3985529;7.079624;9.92
2025-08-23T14:38:25.207Z;47.398304;7.0800568;6.36
2025-08-23T14:38:30.206Z;47.3982054;7.0802289;0.83
2025-08-23T14:38:35.205Z;47.398209;7.0802235;0.0
2025-08-23T14:38:40.206Z;47.398209;7.0802235;0.0
2025-08-23T14:38:45.206Z;47.3982035;7.0802342;0.0
2025-08-23T14:38:50.205Z;47.3982035;7.0802342;0.98
2025-08-23T14:38:55.205Z;47.3980783;7.0804677;6.52
2025-08-23T14:38:58.206Z;47.3978869;7.0806253;9.83
2025-08-23T14:39:00.206Z;47.3977189;7.080773;11.5
2025-08-23T14:39:05.205Z;47.3971589;7.080825;13.15
2025-08-23T14:39:10.206Z;47.396549;7.0808439;13.89
2025-08-23T14:39:15.205Z;47.3958848;7.0808522;15.84
2025-08-23T14:39:20.207Z;47.3951344;7.0808627;17.73
2025-08-23T14:39:25.205Z;47.3942669;7.0808762;19.19
2025-08-23T14:39:26.206Z;47.3940954;7.0808784;19.53
2025-08-23T14:39:30.206Z;47.3933787;7.0808946;20.16
2025-08-23T14:39:33.206Z;47.3928429;7.0809073;20.26
2025-08-23T14:39:35.207Z;47.3924709;7.0809078;20.33
2025-08-23T14:39:40.206Z;47.3915842;7.0807454;19.25
2025-08-23T14:39:45.205Z;47.3907932;7.0805016;17.26
2025-08-23T14:39:50.207Z;47.3901158;7.0799946;16.13
2025-08-23T14:39:55.206Z;47.3896581;7.0793532;12.46
2025-08-23T14:40:00.207Z;47.3892581;7.0788478;10.94
2025-08-23T14:40:05.207Z;47.3888449;7.078521;9.65
2025-08-23T14:40:10.207Z;47.3884975;7.078244;7.97
2025-08-23T14:40:15.207Z;47.3882228;7.0782545;5.02
2025-08-23T14:40:20.207Z;47.3881539;7.0786203;6.9
2025-08-23T14:40:25.207Z;47.3881228;7.0791497;8.6
2025-08-23T14:40:30.207Z;47.3880737;7.0796712;7.04
2025-08-23T14:40:35.207Z;47.3878772;7.0800346;7.11
2025-08-23T14:40:40.207Z;47.3877311;7.0802377;3.6
2025-08-23T14:40:45.207Z;47.3876487;7.0803159;0.76
2025-08-23T14:40:50.207Z;47.3875728;7.0802574;2.58
2025-08-23T14:40:51.207Z;47.38755;7.080253;3.02
2025-08-23T14:40:55.206Z;47.3874681;7.0802131;1.14
2025-08-23T14:41:00.207Z;47.3874611;7.0802124;1.03
2025-08-23T14:41:05.207Z;47.3875126;7.0802276;1.26
2025-08-23T14:41:07.206Z;47.3875636;7.0802408;1.2
2025-08-23T14:41:10.207Z;47.3875782;7.0802533;1.7
2025-08-23T14:41:15.207Z;47.3876643;7.0803067;2.0
2025-08-23T14:41:20.207Z;47.387712;7.0803481;0.51
2025-08-23T14:41:25.206Z;47.387722;7.0803573;0.0
2025-08-23T14:41:30.207Z;47.387722;7.0803573;0.0
2025-08-23T14:41:35.208Z;47.387722;7.0803573;0.0
2025-08-23T14:41:39.207Z;47.387722;7.0803573;0.0
2025-08-23T14:41:40.207Z;47.387722;7.0803573;0.0
2025-08-23T14:41:45.207Z;47.387722;7.0803573;0.0
2025-08-23T14:41:50.208Z;47.387722;7.0803573;0.0
2025-08-23T14:41:55.207Z;47.387722;7.0803573;0.0
2025-08-23T14:42:00.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:05.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:10.207Z;47.387722;7.0803573;0.0
2025-08-23T14:42:15.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:20.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:25.207Z;47.387722;7.0803573;0.0
2025-08-23T14:42:30.206Z;47.387722;7.0803573;0.0
2025-08-23T14:42:35.207Z;47.387722;7.0803573;0.0
2025-08-23T14:42:40.206Z;47.387722;7.0803573;0.0
2025-08-23T14:42:45.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:50.208Z;47.387722;7.0803573;0.0
2025-08-23T14:42:55.208Z;47.387722;7.0803573;0.0
2025-08-23T14:43:00.207Z;47.387722;7.0803573;0.0
2025-08-23T14:43:05.208Z;47.387722;7.0803573;0.0
2025-08-23T14:43:10.207Z;47.387722;7.0803573;0.0
2025-08-23T14:43:15.208Z;47.387722;7.0803573;0.0
2025-08-23T14:43:20.208Z;47.387722;7.0803573;0.0
2025-08-23T14:43:25.206Z;47.387722;7.0803573;0.0
2025-08-23T14:43:30.207Z;47.387722;7.0803573;0.0
2025-08-23T14:43:35.205Z;47.387722;7.0803573;0.0
2025-08-23T14:43:40.206Z;47.387722;7.0803573;0.0
2025-08-23T14:43:45.206Z;47.387722;7.0803573;0.0
2025-08-23T14:43:48.205Z;47.387722;7.0803573;0.0
2025-08-23T14:43:50.206Z;47.387722;7.0803573;0.0
2025-08-23T14:43:55.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:00.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:05.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:06.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:10.206Z;47.387722;7.0803573;0.0
2025-08-23T14:44:15.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:20.208Z;47.387722;7.0803573;0.0
2025-08-23T14:44:25.206Z;47.387722;7.0803573;0.0
2025-08-23T14:44:30.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:35.206Z;47.387722;7.0803573;0.0
2025-08-23T14:44:40.205Z;47.387722;7.0803573;0.0
2025-08-23T14:44:45.208Z;47.387722;7.0803573;0.0
2025-08-23T14:44:50.207Z;47.387722;7.0803573;0.0
2025-08-23T14:44:55.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:00.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:05.209Z;47.387722;7.0803573;0.0
2025-08-23T14:45:10.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:15.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:20.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:25.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:30.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:35.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:40.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:45.207Z;47.387722;7.0803573;0.0
2025-08-23T14:45:50.208Z;47.387722;7.0803573;0.0
2025-08-23T14:45:55.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:00.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:02.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:05.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:10.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:15.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:20.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:25.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:30.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:35.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:40.205Z;47.387722;7.0803573;0.0
2025-08-23T14:46:45.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:46.207Z;47.387722;7.0803573;0.0
2025-08-23T14:46:50.206Z;47.3877226;7.0803571;0.0
2025-08-23T14:46:55.207Z;47.3877151;7.080351;1.38
2025-08-23T14:47:00.205Z;47.3877032;7.0802389;1.51
2025-08-23T14:47:05.205Z;47.3878433;7.0801088;4.54
2025-08-23T14:47:10.208Z;47.3880357;7.0798713;5.86
